dataset,dim,random_state,method,metric1,metric2,bcmo_metric1,bcmo_metric2,metric1_difference,metric2_difference
exp5,4,18,lambda=0.9,187.6666107177734,141.3457336425781,186.98379312129265,140.28438933923564,0.6828175964807599,1.0613443033424517
exp5,4,29,ERM,308.2459027133697,251.7753297009396,308.1527559458605,208.58142629569565,0.09314676750915396,43.19390340524396
exp5,4,29,ERM-NN,309.4453819476485,252.0467899529346,308.1527559458605,208.58142629569565,1.292626001787994,43.46536365723895
exp5,4,29,LightGBM,309.04912063731547,251.5267722646211,308.1527559458605,208.58142629569565,0.8963646914549486,42.94534596892544
exp5,4,29,M=128,309.1747131347656,210.7394256591797,308.1527559458605,208.58142629569565,1.0219571889051053,2.1579993634840378
exp5,4,29,M=2048,309.1574096679688,211.117919921875,308.1527559458605,208.58142629569565,1.0046537221082872,2.5364936261793503
exp5,4,29,M=32,309.0367126464844,209.7241058349609,308.1527559458605,208.58142629569565,0.8839567006238553,1.1426795392652593
exp5,4,29,M=512,309.1919860839844,211.0728912353516,308.1527559458605,208.58142629569565,1.0392301381238553,2.491464939655941
exp5,4,29,M=8,309.1107788085938,213.4873199462891,308.1527559458605,208.58142629569565,0.9580228627332872,4.905893650593441
exp5,4,29,R=1,309.1838989257812,210.6584625244141,308.1527559458605,208.58142629569565,1.0311429799206735,2.077036228718441
exp5,4,29,R=16,309.1747131347656,210.7394256591797,308.1527559458605,208.58142629569565,1.0219571889051053,2.1579993634840378
exp5,4,29,R=256,309.3058166503906,211.1543273925781,308.1527559458605,208.58142629569565,1.1530607045301053,2.572901096882447
exp5,4,29,R=4,309.3408203125,211.1392211914062,308.1527559458605,208.58142629569565,1.1880643666394803,2.5577948957105434
exp5,4,29,R=64,309.2805786132812,211.1838989257812,308.1527559458605,208.58142629569565,1.1278226674206735,2.6024726300855434
exp5,4,29,Spline-ETO,310.072265625,210.4024353027344,308.1527559458605,208.58142629569565,1.9195096791394803,1.8210090070387537
exp5,4,29,Spline-QFR,337.4723205566406,219.3419342041016,308.1527559458605,208.58142629569565,29.319564610780105,10.760507908405941
exp5,4,29,lambda=0.1,309.4426879882812,212.7423095703125,308.1527559458605,208.58142629569565,1.2899320424206735,4.16088327461685
exp5,4,29,lambda=0.3,309.51171875,211.1382904052734,308.1527559458605,208.58142629569565,1.3589628041394803,2.5568641095777593
exp5,4,29,lambda=0.5,309.1747131347656,210.7394256591797,308.1527559458605,208.58142629569565,1.0219571889051053,2.1579993634840378
exp5,4,29,lambda=0.7,309.5034790039062,210.4134674072266,308.1527559458605,208.58142629569565,1.3507230580456735,1.8320411115309412
exp5,4,29,lambda=0.9,309.9142150878906,210.2664794921875,308.1527559458605,208.58142629569565,1.7614591420301053,1.6850531964918503
exp5,4,32,ERM,206.0773571504934,980.621540491766,206.09519202236532,403.0724976539577,-0.017834871871912128,577.5490428378083
exp5,4,32,ERM-NN,210.2400271926682,973.906991183949,206.09519202236532,403.0724976539577,4.144835170302883,570.8344935299913
exp5,4,32,LightGBM,207.32050549248063,963.710884866264,206.09519202236532,403.0724976539577,1.22531347011531,560.6383872123063
exp5,4,32,M=128,206.8094024658203,407.5595092773438,206.09519202236532,403.0724976539577,0.7142104434549879,4.487011623386081
exp5,4,32,M=2048,206.6772155761719,407.1817016601562,206.09519202236532,403.0724976539577,0.5820235538065788,4.109204006198468
exp5,4,32,M=32,206.9222564697266,409.3057861328125,206.09519202236532,403.0724976539577,0.8270644473612663,6.233288478854774
exp5,4,32,M=512,206.7324676513672,407.0506896972656,206.09519202236532,403.0724976539577,0.6372756290018629,3.9781920433078994
exp5,4,32,M=8,206.7791595458984,414.0005187988281,206.09519202236532,403.0724976539577,0.6839675235330844,10.9280211448704
exp5,4,32,R=1,206.8502044677734,407.9338073730469,206.09519202236532,403.0724976539577,0.7550124454080844,4.861309719089149
exp5,4,32,R=16,206.8094024658203,407.5595092773438,206.09519202236532,403.0724976539577,0.7142104434549879,4.487011623386081
exp5,4,32,R=256,206.7986145019531,408.0614624023438,206.09519202236532,403.0724976539577,0.7034224795877719,4.988964748386081
exp5,4,32,R=4,206.8274230957031,407.440185546875,206.09519202236532,403.0724976539577,0.7322310733377719,4.367687892917274
exp5,4,32,R=64,206.8467864990234,407.2435913085938,206.09519202236532,403.0724976539577,0.7515944766580844,4.171093654636081
exp5,4,32,Spline-ETO,206.7291259765625,406.3735656738281,206.09519202236532,403.0724976539577,0.6339339541971754,3.3010680198703994
exp5,4,32,Spline-QFR,242.592529296875,432.9200134277344,206.09519202236532,403.0724976539577,36.497337274509675,29.84751577377665
exp5,4,32,lambda=0.1,207.2025146484375,413.978515625,206.09519202236532,403.0724976539577,1.1073226260721754,10.906017971042274
exp5,4,32,lambda=0.3,206.8805541992188,409.6799926757812,206.09519202236532,403.0724976539577,0.7853621768534822,6.607495021823468
exp5,4,32,lambda=0.5,206.8094024658203,407.5595092773438,206.09519202236532,403.0724976539577,0.7142104434549879,4.487011623386081
exp5,4,32,lambda=0.7,206.7132568359375,406.9106140136719,206.09519202236532,403.0724976539577,0.6180648135721754,3.8381163597141494
exp5,4,32,lambda=0.9,206.4113464355469,405.8782958984375,206.09519202236532,403.0724976539577,0.3161544131815788,2.8057982444797744
exp5,4,36,ERM,182.56926608999424,194.23445616858896,182.59396416434177,155.0444612636039,-0.024698074347526244,39.18999490498507
exp5,4,36,ERM-NN,183.0659756498406,197.0369082416019,182.59396416434177,155.0444612636039,0.4720114854988253,41.992446977998014
exp5,4,36,LightGBM,185.38623412693997,211.95008799744863,182.59396416434177,155.0444612636039,2.7922699625981977,56.90562673384474
