dataset,dim,random_state,m,method,metric1,metric2,replications,samples_per_replication,final_samples_per_replication,fidelity_weight,smoothing_mu,configured_epochs,epochs_ran,batch_size,steps_ran,optimizer,initial_checkpoint_sha256,ipa_gradient_variance_trace,ipa_gradient_variance_mean_per_parameter,ipa_gradient_std_norm,ipa_gradient_mean_norm,ipa_gradient_relative_variance,ipa_gradient_loss_mean,ipa_gradient_loss_variance,gradient_variance_repeats,gradient_variance_batch_size,gradient_variance_replications,gradient_variance_samples_per_replication,gradient_variance_seed,gradient_parameter_count,weighted_ipa_gradient_variance_trace,ipa_gradient_weight
van_havre,9,36,128,rseto_ipa_m128,287.8806457519531,188.59608459472656,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,44079dae9badcc73a14bd11861819da0538d78987c2acb8396650f0aab0974e6,,,,,,,,,,,,,,,
van_havre,9,36,512,rseto_ipa_m512,292.47918701171875,153.11488342285156,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,44079dae9badcc73a14bd11861819da0538d78987c2acb8396650f0aab0974e6,,,,,,,,,,,,,,,
van_havre,9,36,2048,rseto_ipa_m2048,293.2103576660156,152.29869079589844,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,44079dae9badcc73a14bd11861819da0538d78987c2acb8396650f0aab0974e6,,,,,,,,,,,,,,,
van_havre,9,32,8,rseto_ipa_m8,268.2757263183594,235.8069610595703,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,d88b4d6334092e8fc30d3c9de9582bad3207f7bce2b7b70b6a01207e55bf4d87,,,,,,,,,,,,,,,
van_havre,9,32,32,rseto_ipa_m32,272.90118408203125,182.83370971679688,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,d88b4d6334092e8fc30d3c9de9582bad3207f7bce2b7b70b6a01207e55bf4d87,,,,,,,,,,,,,,,
van_havre,9,32,128,rseto_ipa_m128,273.8505554199219,165.78102111816406,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,d88b4d6334092e8fc30d3c9de9582bad3207f7bce2b7b70b6a01207e55bf4d87,,,,,,,,,,,,,,,
van_havre,9,32,512,rseto_ipa_m512,273.71856689453125,165.38946533203125,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,d88b4d6334092e8fc30d3c9de9582bad3207f7bce2b7b70b6a01207e55bf4d87,,,,,,,,,,,,,,,
van_havre,9,32,2048,rseto_ipa_m2048,273.73626708984375,165.33544921875,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,d88b4d6334092e8fc30d3c9de9582bad3207f7bce2b7b70b6a01207e55bf4d87,,,,,,,,,,,,,,,
van_havre,9,29,8,rseto_ipa_m8,302.8835144042969,216.7015686035156,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,9106c1dc9e1973bee95a2084754f1b44065d13a911eee7a64c4b08dde7eb5564,,,,,,,,,,,,,,,
van_havre,9,29,32,rseto_ipa_m32,303.1332092285156,175.2489013671875,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,9106c1dc9e1973bee95a2084754f1b44065d13a911eee7a64c4b08dde7eb5564,,,,,,,,,,,,,,,
