data_synthetic,dim,random_state,model,metric1,metric2,configured_epochs,epochs_ran,steps_ran,optimizer,data_protocol,error
van-havre,14,87,end_to_end,264.32133729930615,1324.0670065038548,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,87,erm,261.78326788826416,1303.502835858322,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,87,lightgbm,288.5028434670893,1121.450505375936,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,87,oracle_gmm,258.2018947378731,157.10881470098906,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,82,end_to_end,264.3721341333357,1176.8028537987743,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,82,erm,266.3702094276043,1145.1021090291013,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,82,lightgbm,289.37085228650676,970.0867839693888,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,82,oracle_gmm,256.20789603506427,177.65735476917803,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,15,end_to_end,257.526739935288,1566.422543491507,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,15,erm,258.67691894684316,1540.076071954397,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,15,lightgbm,273.1105829613866,1289.094274789658,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,15,oracle_gmm,253.6143911144587,148.49479127564624,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,4,end_to_end,263.4155567620564,1386.9692985961874,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,4,erm,263.2462810226405,1349.4700946373855,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,4,lightgbm,307.39615789442837,1083.5782473411564,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,4,oracle_gmm,257.5103691934735,142.49110179936977,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,95,end_to_end,265.8632456313142,1177.530874401436,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,95,erm,263.3681950587842,1156.689459312301,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,95,lightgbm,337.63659816671355,861.4967734262641,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,95,oracle_gmm,258.2477038714899,177.1724004787455,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,36,end_to_end,259.1874678149408,1212.7617600893911,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,36,erm,261.40395968964225,1183.7479514278218,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,36,lightgbm,278.95707084403153,964.1408568872858,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,36,oracle_gmm,255.81678226263875,142.3718291853386,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,32,end_to_end,263.7655016909078,1230.6794305036806,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,32,erm,260.4494627079648,1209.351078716875,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,32,lightgbm,291.0220077326221,1010.5845036592412,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,32,oracle_gmm,257.04108042697374,152.1397643782951,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,29,end_to_end,259.41423127758105,1229.0134862281348,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,29,erm,269.26548456123317,1140.197908091484,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,29,lightgbm,320.18658903675373,829.0238449181494,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,29,oracle_gmm,256.9105440810733,145.3557382978706,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,18,end_to_end,262.0061180929095,1228.3768571444125,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,19,18,erm,263.0238863594181,1225.645053407554,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
